"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"30","AFST413","Governance in Africa","<p>International donor agencies, along with global and local NGOs and civil society groups, invest heavily in promoting “good governance” in developing countries. Investigation of governance problems in developing countries and the disconnect between ideas and concepts of international development organizations, perspectives of academic researchers, and perception of citizens in developing countries. Regional focus on Sub-Saharan Africa.</p>","GLBL328","PLSC413",NA,NA,NA,NA,NA,NA,NA,"international donor agencies ngos civil society groups invest heavily promoting developing countries disconnect ideas concepts organizations perspectives academic researchers perception regional focus subsaharan africa"
"31","AFST432","Development and Democracy in Africa","<p>Introduction to development challenges in Africa. Use of current social science research to examine the driving forces behind Africa's poor development outcomes and to explore options for changing Africa's development trajectory. The effectiveness of democratization as a broad development tool. Evaluation of micro-level projects designed to tackle specific problems.</p>
","PLSC414",NA,NA,NA,NA,NA,NA,NA,NA,"challenges africa use social examine driving forces behind africas explore options trajectory effectiveness democratization broad microlevel projects designed tackle"
"32","AFST221","Egyptomania","<p>Conceptual underpinnings of the use of ancient Egyptian motifs in architecture, painting, sculpture, and decorative arts throughout western Europe, the Middle East, and North America from antiquity to the present.</p>","ARCG221","HSAR234","NELC120",NA,NA,NA,NA,NA,NA,"underpinnings use egyptian motifs painting decorative arts throughout western europe east present"
"33","AFST435","West African Dance: Traditional to Contemporary","<p>A practical and theoretical study of the traditional dances of Africa, focusing on those of Burkina Faso and their contemporary manifestations. Emphasis on rhythm, kinesthetic form, and gestural expression. The fusion of modern European dance and traditional African dance.</p>
","THST335",NA,NA,NA,NA,NA,NA,NA,NA,"theoretical traditional dances africa focusing burkina faso contemporary manifestations emphasis rhythm kinesthetic gestural expression fusion modern european dance african"
"34","AKKD120","Elementary Akkadian II","<p>Continuation of AKKD 110.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"akkd 110"
"35","AMST235","Language, Disability, Fiction","<p>Portrayals of cognitive and linguistic impairment in modern fiction. Characters with limited capacities for language as figures of ""otherness."" Contemporaneous discourses of science, sociology, ethics, politics, and aesthetics. The ethics of speaking about or for subjects at the margins of discourse.</p>
","ENGL354",NA,NA,NA,NA,NA,NA,NA,NA,"portrayals cognitive linguistic impairment modern fiction characters limited capacities language figures otherness contemporaneous sociology ethics politics margins discourse"
"36","AMST257","Modern Apocalyptic Narratives","<p>The persistent impulse in Western culture to imagine the end of the world and what might follow. Social and psychological factors that motivate apocalyptic representations. Differences and constant features in apocalyptic representations from the Hebrew Bible to contemporary science fiction. Attitudes toward history, politics, sexuality, social class, and the process of representation in apocalyptic texts.</p>
","ENGL325",NA,NA,NA,NA,NA,NA,NA,NA,"persistent impulse western culture imagine end world follow social psychological motivate representations differences constant features hebrew contemporary fiction attitudes politics sexuality class texts"
"37","AMST348","Space, Place, and Landscape","<p>Survey of core concepts in cultural geography and spatial theory. Ways in which the organization, use, and representation of physical spaces produce power dynamics related to colonialism, race, gender, class, and migrant status. Multiple meanings of home; the politics of place names; effects of tourism; the aesthetics and politics of map making; spatial strategies of conquest. Includes field projects in New Haven.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"core concepts cultural geography use physical spaces related colonialism race class migrant status multiple home politics place names tourism map making strategies includes projects"
"38","AMST385","Trauma in American Film and Television","<p>Origins, multiple meanings, and influence of the notion of trauma in contemporary American culture. Relations between theories of popular culture and of trauma, particularly in  discussions of war, social upheaval, and September 11, 2001. The conditions and implications of engaging trauma through everyday entertainment such as film and television; the ethics of representation.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"origins multiple notion contemporary american culture relations  discussions war social upheaval september 11 2001 conditions implications engaging everyday entertainment film ethics"
"39","AMST441","Indians and the Spanish Borderlands","<p>The experiences of Native Americans during centuries of relations with North America's first imperial power, Spain. The history and long-term legacies of Spanish colonialism from Florida to California.</p>
","HIST130J","ER&M370",NA,NA,NA,NA,NA,NA,NA,"experiences americans centuries relations americas first imperial spain longterm colonialism florida california"
"40","AMST466","Contemporary Historical Novels","<p>Attempts of contemporary American authors to put the complexities of history into written form. Narrative as the privileged mode of historical representation; differences between what is regarded as academic history, popular history, and historical fiction; the influence of power and of the writer's own historical position on historical narrative; effects of ethnicity, gender, and race on the creation and reception of history; writers' use of historical fiction to change the ways readers think about the present and the future.</p>
","ENGL444",NA,NA,NA,NA,NA,NA,NA,NA,"contemporary american authors complexities narrative privileged mode historical differences regarded academic fiction writers position ethnicity race use change readers think present future"
"41","AMST311","Latina/o New Haven","<p>Introduction to the field of Latina/o studies, with a focus on community-based research in New Haven. Training in interdisciplinary methods of social research, including oral history, interviews, archival research, cultural analysis, and social documentation. Students design collaborative research projects.</p>
","ER&M311",NA,NA,NA,NA,NA,NA,NA,NA,"latinao focus communitybased methods social including oral archival cultural documentation students design collaborative projects"
"42","AMST193","Origins of U.S. Global Power","<p>Policies, strategies, and ideas that enabled the United States to become a world power. Manifest Destiny, expansion, and empire; American exceptionalism; nationalism and internationalism; capitalism and consumer culture; technological innovation; the relation between domestic politics and U.S. foreign policy, particularly with regard to race and gender; challenges and resistance to U.S. global power. Focus on the twentieth century, with introduction to critical moments in U.S. and international history during the seventeenth through nineteenth centuries.</p>
","HIST122",NA,NA,NA,NA,NA,NA,NA,NA,"strategies ideas enabled states become world manifest destiny expansion empire american exceptionalism nationalism internationalism capitalism consumer culture politics foreign policy regard race challenges resistance focus moments international seventeenth nineteenth centuries"
"43","AMST422","Writing Tribal Histories","<p>Historical overview of American Indian tribal communities, particularly since the creation of the United States. Challenges of working with oral histories, government documents, and missionary records.</p>
","ER&M435","HIST151J",NA,NA,NA,NA,NA,NA,NA,"historical american indian tribal states challenges working oral histories government documents missionary records"
"44","AMST271","Women in Modern America","<p>U.S. women's history and the history of gender from 1900 to the present. Changing meanings of femininity, masculinity, sex, gender, and sexuality; intersections of class, race, ethnicity, and gender; women's labor in industrial and postindustrial economies; women's participation in politics and social movements; trends in sexual expression, gender presentation, reproduction, child rearing, and marriage; and feminist and other gender-equity movements.</p>
","WGSS201","HIST171",NA,NA,NA,NA,NA,NA,NA,"womens 1900 present femininity masculinity sexuality intersections class race ethnicity labor industrial postindustrial economies participation politics social movements trends sexual expression presentation child rearing marriage feminist genderequity"
"45","AMST392","Religion and Popular Culture","<p>Study of the religious dimensions of popular culture. Religious institutions' engagement in economic markets; the deployment of religious imagery in the cultural marketplace; consumer culture as a religious space.</p>
","RLST311",NA,NA,NA,NA,NA,NA,NA,NA,"culture institutions economic markets deployment imagery cultural marketplace consumer"
"46","AMST475","Performing American Literature","<p>A broad selection of short stories, poems, and novels,&#160;accompanied by class performances, culminating in a term project with a significant writing component.&#160;“Performance"" includes a wide range of activities including: staging; making digital films and videos; building websites; game design; and creative use of social media. Readings include poetry by Walt Whitman, Emily Dickinson, Yusef Komunyakka, and Claudia Rankine; fiction by Herman Melville, F. Scott Fitzgerald, Jhumpa Lahiri, and Junos Diaz.</p>","AMST775","ENGL838","ENGL438",NA,NA,NA,NA,NA,NA,"broad stories class culminating term significant writing includes including staging making digital films videos building websites game design use social poetry walt whitman emily dickinson yusef komunyakka claudia rankine fiction herman melville f scott fitzgerald jhumpa lahiri junos diaz novels accompanied component performance"
"47","AMST217","Craft, Design, and Art: American Domestic Architecture and Decorative Arts since 1900","<p>A survey of American architecture and decorative arts in the twentieth century. Examination of architecture, furniture, metals, ceramics, and glass. Topics include responses to the reforms of the Arts and Crafts movement, the introduction of modernism, the survival and revival of traditional and vernacular expressions, the rise of industrial designers, the development of studio crafts, and the varieties of postmodern expression.</p>
","HSAR216",NA,NA,NA,NA,NA,NA,NA,NA,"american decorative arts furniture metals ceramics glass topics responses reforms crafts movement survival revival traditional vernacular expressions industrial designers studio varieties postmodern expression"
"48","AMST469","Progressivism: Theory and Practice","<p>The progressive reform tradition in American politics. The tradition's conceptual underpinnings, social supports, practical manifestations in policy and in new governmental arrangements, and conservative critics. Emphasis on the origins of progressivism in the early decades of the twentieth century, with attention to latter-day manifestations and to changes in the progressive impulse over time.</p>","PLSC812","EP&E396","PLSC251",NA,NA,NA,NA,NA,NA,"progressive tradition american politics traditions underpinnings social supports manifestations policy governmental conservative emphasis origins progressivism decades latterday impulse time"
"49","AMST381","Queer and Trans Performativity","<p>Introduction to the intersections of queer theory and performance studies through examination of key texts that have shaped conversations between these fields, followed by focus on the themes currently under debate such as queer temporalities and history; the anti-social thesis; and the turn to affect. Attention to aesthetics and the performing arts. &#160;</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"intersections queer performance key texts conversations followed focus themes currently debate temporalities antisocial thesis turn arts "
"53","AMST463","Documentary Film Workshop","<p>A yearlong workshop designed primarily for majors in Film and Media Studies or American Studies who are making documentaries as senior projects.</p>","EVST463","FILM736","AMST833","FILM455",NA,NA,NA,NA,NA,"yearlong workshop designed majors film american making documentaries projects"
"54","AMST400","The History of Race in the Early Americas","<p>A broad survey of the history of racial thinking in the Atlantic world from the early modern period through the late nineteenth century. Students will denaturalize the idea that&#160;race is synonymous with skin color by turning to the long history of racism and racial thinking in the Atlantic world to illustrate the way that current ideas about what race “is” or means is a profoundly twentieth-century idea.</p>","ER&M358","HIST119J",NA,NA,NA,NA,NA,NA,NA,"broad racial atlantic world modern late nineteenth students will denaturalize idea synonymous skin turning long racism illustrate ideas race profoundly twentiethcentury"
"55","AMST272","Asian American History, 1800 to the Present","<p>An introduction to the history of East, South, and Southeast Asian migrations and settlement to the United States from the late eighteenth century to the present. Major themes include labor migration, community formation, U.S. imperialism, legal exclusion, racial segregation, gender and sexuality, cultural representations, and political resistance.</p>
","ER&M282","WGSS272","HIST183",NA,NA,NA,NA,NA,NA,"east southeast migrations settlement states late present themes labor formation imperialism legal exclusion racial segregation sexuality cultural representations political resistance"
"56","AMST010","Islam in the United States","<p>Introduction to ethnic studies and ethnographic film and writing through the study of Islam in the United States. The wide variety of Muslim ethnic and racial and immigrant groups in the United States and the new forms of religious life that develop from their interaction. Global and universal elements of Islam; elements that are specific to place and community, including what is American about Islam in America.</p>","ER&M010",NA,NA,NA,NA,NA,NA,NA,NA,"ethnographic film writing states variety racial immigrant groups life develop interaction universal place including american"
"57","AMST258","Wilderness in the North American Imagination","<p>The idea of wilderness in American history, art, film, public policy, and literature, from the Puritans to the present. Authors include Thoreau, Faulkner, Jack London, Mary Rowlandson, Aldo Leopold, and Rachel Carson. A weekend field trip is held early in the term.</p>
","EVST258",NA,NA,NA,NA,NA,NA,NA,NA,"idea wilderness american film public policy puritans present authors thoreau faulkner jack london rowlandson aldo leopold rachel carson weekend trip term"
"58","AMST284","Introduction to Latino/a Studies","<p>Themes and issues that have shaped the experiences of Latino/a populations in the United States explored within an interdisciplinary and hemispheric framework. Relations between the United States and Latin America; the history of ethnic labels; the formation of transnational communities and identities; the politics of language and bilingualism; race, class, and ethnicity; and gender and sexuality.</p>
","ER&M217",NA,NA,NA,NA,NA,NA,NA,NA,"themes experiences latinoa populations states explored within hemispheric framework relations latin labels formation identities politics language bilingualism race class ethnicity sexuality"
"59","AMST349","Technologies of Movement Research","<p>Marshaling both artistic and academic methods, and with dance as the focal point, this course examines technologies that traverse disciplinary boundaries. Topics include: somatic practices that emphasize internal sense perception; choreographic notation; dance dramaturgy; digital motion capture; the intersection of cognitive science and dance; and ethnographies that draw strategies from the arts to probe social problems. Open to all students.</p>","THST427",NA,NA,NA,NA,NA,NA,NA,NA,"marshaling artistic academic methods dance focal course examines technologies traverse disciplinary topics somatic practices internal perception choreographic notation dramaturgy digital capture intersection cognitive ethnographies draw strategies arts probe social students"
"60","AMTH160","The Structure of Networks","<p>Network structures and network dynamics described through examples and applications ranging from marketing to epidemics and the world climate. Study of social and biological networks as well as networks in the humanities. Mathematical graphs provide a simple common language to describe the variety of networks and their properties.</p>
","MATH160",NA,NA,NA,NA,NA,NA,NA,NA,"structures described applications ranging marketing epidemics world climate social biological networks well humanities mathematical graphs common language describe variety"
"61","AMTH437","Optimization Techniques","<p>Fundamental theory and algorithms of optimization, emphasizing convex optimization. The geometry of convex sets, basic convex analysis, the principle of optimality, duality. Numerical algorithms: steepest descent, Newton's method, interior point methods, dynamic programming, unimodal search. Applications from engineering and the sciences.</p>","EENG437","ECON413","ENAS530",NA,NA,NA,NA,NA,NA,"optimization emphasizing convex geometry principle optimality duality numerical steepest descent newtons interior methods dynamic programming unimodal search applications engineering sciences"
"65","AMTH222","Linear Algebra with Applications","<p>Matrix representation of linear equations. Gauss elimination. Vector spaces. Linear independence, basis, and dimension. Orthogonality, projection, least squares approximation; orthogonalization and orthogonal bases. Extension to function spaces. Determinants. Eigenvalues and eigenvectors. Diagonalization. Difference equations and matrix differential equations. Symmetric and Hermitian matrices. Orthogonal and unitary transformations; similarity transformations.</p>
","MATH222",NA,NA,NA,NA,NA,NA,NA,NA,"matrix linear gauss elimination spaces dimension orthogonality projection squares approximation orthogonalization orthogonal bases function determinants eigenvalues eigenvectors diagonalization symmetric hermitian matrices unitary similarity"
"66","AMTH247","Partial Differential Equations","<p>Introduction to partial differential equations, wave equation, Laplace's equation, heat equation, method of characteristics, calculus of variations, series and transform methods, and numerical methods.</p>
","G&G247","MATH247",NA,NA,NA,NA,NA,NA,NA,"partial wave equation laplaces heat characteristics variations transform methods numerical"
"67","AMTH361","Data Analysis","<p>Selected topics in statistics explored through analysis of data sets using the R statistical computing language. Topics include linear and nonlinear models, maximum likelihood, resampling methods, curve estimation, model selection, classification, and clustering.</p>","STAT661","STAT361",NA,NA,NA,NA,NA,NA,NA,"topics statistics explored data using r statistical computing language linear nonlinear models likelihood resampling methods curve estimation model classification clustering"
"68","AMTH364","Information Theory","<p>Foundations of information theory in communications, statistical inference, statistical mechanics, probability, and algorithmic complexity. Quantities of information and their properties: entropy, conditional entropy, divergence, redundancy, mutual information, channel capacity. Basic theorems of data compression, data summarization, and channel coding. Applications in statistics and finance.</p>
","EENG454","STAT364",NA,NA,NA,NA,NA,NA,NA,"foundations information communications statistical inference mechanics algorithmic complexity quantities conditional divergence redundancy mutual channel capacity theorems data compression summarization coding applications statistics finance"
"70","ANTH132","Sex, Love, and Reproduction","<p>Introduction to the scientific study of sex in humans. Basic principles of evolutionary biology; genetic, physiological, ecological, social, and behavioral aspects of sex in humans; topics relevant to human sexuality today. Examples drawn primarily from traditional and modern human societies, with some attention to data from studies of nonhuman primates.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"scientific evolutionary biology genetic physiological ecological social aspects topics sexuality traditional modern data nonhuman primates"
"71","ANTH233","Ancient Civilizations of Mesoamerica","<p>The Indian civilizations of Mexico and Central America from earliest times through the Spanish Conquest.</p>
","ARCG233",NA,NA,NA,NA,NA,NA,NA,NA,"indian civilizations mexico central"
"72","ANTH242","Human Evolutionary Biology and Life History","<p>The range of human physiological adaptability across environments and ecologies. Effects of energetic constraints on growth, reproduction, and behavior within the context of evolution and life history theory, with special emphasis on traditional non-Western societies.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"physiological adaptability environments ecologies energetic behavior within context evolution life special emphasis traditional nonwestern"
"73","ANTH267","Human Evolution","<p>Examination of the fossil record of human evolution, including both paleontological and archaeological evidence for changes in hominid behavior during the Pleistocene.</p>","ARCG267",NA,NA,NA,NA,NA,NA,NA,NA,"record evolution including paleontological archaeological hominid behavior pleistocene"
"74","ANTH311","Anthropological Theory and the Post Colonial Encounter","<p>Key texts in the theoretical development of sociocultural anthropology. Theorists include Emile Durkheim, Marcel Mauss, A. R. Radcliffe-Brown, Bronislaw Malinowski, E. E.&#160;Evans-Pritchard, Claude Lévi-Strauss, Mary Douglas, Clifford Geertz, Sherry Ortner, Michele Rosaldo, Talal Asad, and Edward Said.</p>","MMES310",NA,NA,NA,NA,NA,NA,NA,NA,"key texts theoretical anthropology theorists emile durkheim marcel mauss r radcliffebrown bronislaw malinowski claude lévistrauss douglas clifford geertz sherry ortner michele rosaldo talal asad edward said evanspritchard"
